name,label
Ge Vernova Inc.,"{""Management_Of_Legal_And_Regulatory_Framework"": 156, ""Competitive_Behavior"": 148, ""Business_Ethics"": 23, ""Business_Model_Resilience"": 26, ""Systemic_Risk_Management"": 60, ""Selling_Practices_And_Product_Labeling"": 7, ""Product_Design_And_Lifecycle_Management"": 115, ""Access_And_Affordability"": 10, ""Data_Security"": 21, ""Customer_Welfare"": 23, ""Ecological_Impacts"": 13, ""Energy_Management"": 4, ""GHG_Emissions"": 4, ""Employee_Health_And_Safety"": 3, ""Employee_Engagement_Inclusion_And_Diversity"": 10, ""Labor_Practices"": 5, ""Product_Quality_And_Safety"": 11, ""Customer_Privacy"": 24, ""Supply_Chain_Management"": 5, ""Critical_Incident_Risk_Management"": 2, ""Director_Removal"": 10}"
The Walt Disney Company,"{""Management_Of_Legal_And_Regulatory_Framework"": 180, ""Business_Ethics"": 25, ""Business_Model_Resilience"": 6, ""Selling_Practices_And_Product_Labeling"": 18, ""Product_Design_And_Lifecycle_Management"": 43, ""Systemic_Risk_Management"": 49, ""Competitive_Behavior"": 177, ""Customer_Welfare"": 55, ""Ecological_Impacts"": 2, ""Employee_Health_And_Safety"": 21, ""Access_And_Affordability"": 32, ""Product_Quality_And_Safety"": 59, ""Data_Security"": 21, ""Labor_Practices"": 4, ""Employee_Engagement_Inclusion_And_Diversity"": 4, ""Critical_Incident_Risk_Management"": 1, ""Physical_Impacts_Of_Climate_Change"": 1, ""Waste_And_Hazardous_Materials_Management"": 4, ""Supply_Chain_Management"": 1, ""Customer_Privacy"": 8, ""Director_Removal"": 17}"
U.S. Bancorp,"{""Management_Of_Legal_And_Regulatory_Framework"": 93, ""Product_Design_And_Lifecycle_Management"": 23, ""Product_Quality_And_Safety"": 1, ""Employee_Health_And_Safety"": 4, ""Director_Removal"": 7, ""Employee_Engagement_Inclusion_And_Diversity"": 3, ""Business_Model_Resilience"": 7, ""Waste_And_Hazardous_Materials_Management"": 2, ""Customer_Welfare"": 2, ""Energy_Management"": 2, ""Ecological_Impacts"": 1, ""Human_Rights_And_Community_Relations"": 1, ""Systemic_Risk_Management"": 95, ""Competitive_Behavior"": 20, ""Business_Ethics"": 9, ""Physical_Impacts_Of_Climate_Change"": 1, ""Supply_Chain_Management"": 4, ""Labor_Practices"": 4, ""Customer_Privacy"": 1, ""Data_Security"": 2}"
Aon Plc Class A,"{""Energy_Management"": 11, ""Air_Quality"": 12, ""Systemic_Risk_Management"": 49, ""Supply_Chain_Management"": 6, ""Product_Design_And_Lifecycle_Management"": 56, ""Management_Of_Legal_And_Regulatory_Framework"": 82, ""Competitive_Behavior"": 26, ""Business_Ethics"": 48, ""Data_Security"": 3, ""Human_Rights_And_Community_Relations"": 1, ""GHG_Emissions"": 1, ""Physical_Impacts_Of_Climate_Change"": 1, ""Waste_And_Hazardous_Materials_Management"": 1, ""Business_Model_Resilience"": 9, ""Labor_Practices"": 15, ""Critical_Incident_Risk_Management"": 2, ""Product_Quality_And_Safety"": 1, ""Director_Removal"": 8, ""Employee_Engagement_Inclusion_And_Diversity"": 9, ""Employee_Health_And_Safety"": 1, ""Water_And_Wastewater_Management"": 1, ""Access_And_Affordability"": 1}"
"Air Products & Chemicals, Inc.","{""Management_Of_Legal_And_Regulatory_Framework"": 6, ""Employee_Engagement_Inclusion_And_Diversity"": 5, ""Product_Design_And_Lifecycle_Management"": 7, ""Labor_Practices"": 1, ""Systemic_Risk_Management"": 3, ""Energy_Management"": 2, ""Supply_Chain_Management"": 1, ""Critical_Incident_Risk_Management"": 1, ""Business_Model_Resilience"": 3, ""Business_Ethics"": 1}"
Abbott Laboratories,"{""Customer_Welfare"": 23, ""Access_And_Affordability"": 11, ""Critical_Incident_Risk_Management"": 4, ""Supply_Chain_Management"": 3, ""Systemic_Risk_Management"": 46, ""Business_Model_Resilience"": 2, ""Product_Design_And_Lifecycle_Management"": 26, ""Employee_Health_And_Safety"": 15, ""Management_Of_Legal_And_Regulatory_Framework"": 87, ""Competitive_Behavior"": 17, ""Business_Ethics"": 6, ""Ecological_Impacts"": 1, ""Energy_Management"": 2, ""Selling_Practices_And_Product_Labeling"": 4, ""Product_Quality_And_Safety"": 3}"
Abbvie Inc.,"{""Systemic_Risk_Management"": 92, ""Access_And_Affordability"": 31, ""Business_Model_Resilience"": 22, ""Management_Of_Legal_And_Regulatory_Framework"": 252, ""Business_Ethics"": 45, ""Product_Design_And_Lifecycle_Management"": 39, ""Employee_Health_And_Safety"": 13, ""Customer_Welfare"": 20, ""Product_Quality_And_Safety"": 26, ""Competitive_Behavior"": 93, ""Data_Security"": 2, ""Supply_Chain_Management"": 3, ""Selling_Practices_And_Product_Labeling"": 4, ""Ecological_Impacts"": 4, ""Employee_Engagement_Inclusion_And_Diversity"": 26, ""Critical_Incident_Risk_Management"": 1, ""Labor_Practices"": 52, ""Director_Removal"": 47, ""Human_Rights_And_Community_Relations"": 1, ""Physical_Impacts_Of_Climate_Change"": 2}"
"C.H. Robinson Worldwide, Inc.","{""Competitive_Behavior"": 35, ""Access_And_Affordability"": 3, ""Management_Of_Legal_And_Regulatory_Framework"": 139, ""Energy_Management"": 3, ""Employee_Engagement_Inclusion_And_Diversity"": 7, ""Supply_Chain_Management"": 11, ""Labor_Practices"": 8, ""Business_Ethics"": 12, ""Director_Removal"": 9, ""Systemic_Risk_Management"": 76, ""Physical_Impacts_Of_Climate_Change"": 3, ""Product_Design_And_Lifecycle_Management"": 24, ""Business_Model_Resilience"": 14, ""Customer_Welfare"": 2, ""Employee_Health_And_Safety"": 3, ""Data_Security"": 9}"
Arch Capital Group Ltd,"{""Management_Of_Legal_And_Regulatory_Framework"": 205, ""Business_Ethics"": 25, ""Director_Removal"": 15, ""Systemic_Risk_Management"": 76, ""Data_Security"": 8, ""Product_Design_And_Lifecycle_Management"": 19, ""Competitive_Behavior"": 109, ""Business_Model_Resilience"": 38, ""Employee_Engagement_Inclusion_And_Diversity"": 5, ""Critical_Incident_Risk_Management"": 1, ""Customer_Privacy"": 7, ""Customer_Welfare"": 1, ""Supply_Chain_Management"": 4, ""Energy_Management"": 4, ""Labor_Practices"": 24, ""Selling_Practices_And_Product_Labeling"": 1, ""Ecological_Impacts"": 2, ""Employee_Health_And_Safety"": 2}"
Accenture Plc,"{""Systemic_Risk_Management"": 63, ""Business_Model_Resilience"": 34, ""Employee_Engagement_Inclusion_And_Diversity"": 25, ""Supply_Chain_Management"": 6, ""Employee_Health_And_Safety"": 3, ""Management_Of_Legal_And_Regulatory_Framework"": 145, ""Competitive_Behavior"": 40, ""Business_Ethics"": 20, ""Data_Security"": 10, ""Product_Design_And_Lifecycle_Management"": 7, ""Energy_Management"": 3, ""Labor_Practices"": 4, ""Human_Rights_And_Community_Relations"": 1, ""GHG_Emissions"": 1, ""Waste_And_Hazardous_Materials_Management"": 1, ""Water_And_Wastewater_Management"": 1, ""Director_Removal"": 9, ""Customer_Privacy"": 2, ""Physical_Impacts_Of_Climate_Change"": 1, ""Critical_Incident_Risk_Management"": 1}"
