company_name,name
Enphase_Energy_Inc,"Enphase Energy, Inc."
Eastman_Chemical_Company,Eastman Chemical Company
Dayforce,"Dayforce, Inc."
DaVita,Davita Inc.
"Darden_Restaurants,_Inc","Darden Restaurants, Inc."
Zoetis_Inc,Zoetis Inc.
Zimmer_Biomet,"Zimmer Biomet Holdings, Inc."
Zebra_Technologies_Corp,Zebra Technologies Corporation
Yum_China_Holdings_Inc,"Yum! Brands, Inc."
Xylem,Xylem Inc
Axcelis_Technologies_Inc,"Xcel Energy, Inc."
Wynn_Resorts_Ltd,Wynn Resorts Ltd
Willis_Lease_Finance_Corp,Willis Towers Watson Public Limited Companys
The_Sherwin-Williams_Company,Williams Companies Inc.
Weyerhaeuser_Co,Weyerhaeuser Company
WestRock_Company,Westrock Company
Canadian_Western_Bank,Western Digital Corp.
Canadian_Western_Bank,"West Pharmaceutical Services, Inc."
Welltower_Inc,Welltower Inc.
Wells_Fargo_&_Company,Wells Fargo & Co.
"WEC_Energy_Group,_Inc","Wec Energy Group, Inc."
Waters_Corporation,Waters Corp
Casella_Waste_Systems_Inc,"Waste Management, Inc."
BorgWarner,"Warner Bros. Discovery, Inc. Series a"
Walmart_Inc,Walmart Inc.
"Walgreens_Boots_Alliance,_Inc","Walgreens Boots Alliance, Inc"
"WW_International,_Inc","W.W. Grainger, Inc."
Aurora_Property_Buy-Write_Income_Trust,W.R. Berkley Corporation
Vulcan_Materials_Company,Vulcan Materials Company
Vistra_Energy_Corp,Vistra Corp.
Grupo_Televisa_SA,Visa Inc.
Vici_Properties_Inc,Vici Properties Inc.
Viatris,Viatris Inc.
Vertex_Pharmaceuticals_Inc,Vertex Pharmaceuticals Inc
Verizon_Communications_Inc,Verizon Communications
Verisk_Analytics_Inc,"Verisk Analytics, Inc."
Verisign_Inc,Verisign Inc
Veralto_Corporation,Veralto Corporation
Ventas_Inc,"Ventas, Inc."
Valero_Energy_Corp,Valero Energy Corporation
Focus_Universal_Inc,"Universal Health Services, Inc. Class B"
UnitedHealth_Group_Inc,Unitedhealth Group Incorporated
Acme_United_Corporation,"United Rentals, Inc."
Acme_United_Corporation,"United Parcel Service, Inc. Class B"
Acme_United_Corporation,"United Airlines Holdings, Inc."
Union_Pacific_Corporation,Union Pacific Corp.
"Atlas_Technical_Consultants,_Inc","Ulta Beauty, Inc."
"UDR,_Inc","Udr, Inc."
Neuberger_Berman,"Uber Technologies, Inc."
5N_Plus_Inc,U.S. Bancorp
"Tyson_Foods,_Inc","Tyson Foods, Inc."
"Tyler_Technologies,_Inc","Tyler Technologies, Inc."
Truist_Financial_Corporation,Truist Financial Corporation
Trimble_Inc,Trimble Inc.
